# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
(  3/4|  6  ), 0.75000, 6.00000,  1.06966, 10.49867,  141,                  6+7+9+10,
( 27/4| -3/4), 6.75000,-0.75000,  9.62694,  4.32298,  141,                  3+5+8+12,
( -3/4| 27/4),-0.75000, 6.75000, -1.06966, 10.49867,  141,                  3+5+8+12,
( 27/4| -6  ), 6.75000,-6.00000,  9.62694, -4.32298,  141,                  6+7+9+10,
( -6  | 27/4),-6.00000, 6.75000, -8.55728,  6.17569,  141,                  1+2+4+11,
(  6  |-27/4), 6.00000,-6.75000,  8.55728, -6.17569,  141,                  1+2+4+11,
(-27/4|  6  ),-6.75000, 6.00000, -9.62694,  4.32298,  141,                  6+7+9+10,
(  3/4|-27/4), 0.75000,-6.75000,  1.06966,-10.49867,  141,                  3+5+8+12,
(-27/4|  3/4),-6.75000, 0.75000, -9.62694, -4.32298,  141,                  3+5+8+12,
( -3/4| -6  ),-0.75000,-6.00000, -1.06966,-10.49867,  141,                  6+7+9+10,
( -6  | -3/4),-6.00000,-0.75000, -8.55728, -6.17569,  141,                  1+2+4+11,
(  5  |  9/4), 5.00000, 2.25000,  7.13107,  7.82254,  142,                  1+2+4+11,
(  9/4|  5  ), 2.25000, 5.00000,  3.20898, 10.08696,  142,                  6+7+9+10,
( 29/4| -9/4), 7.25000,-2.25000, 10.34005,  2.26442,  142,                  3+5+8+12,
( -9/4| 29/4),-2.25000, 7.25000, -3.20898, 10.08696,  142,                  3+5+8+12,
( 29/4| -5  ), 7.25000,-5.00000, 10.34005, -2.26442,  142,                  6+7+9+10,
( -5  | 29/4),-5.00000, 7.25000, -7.13107,  7.82254,  142,                  1+2+4+11,
(  5  |-29/4), 5.00000,-7.25000,  7.13107, -7.82254,  142,                  1+2+4+11,
(-29/4|  5  ),-7.25000, 5.00000,-10.34005,  2.26442,  142,                  6+7+9+10,
(  9/4|-29/4), 2.25000,-7.25000,  3.20898,-10.08696,  142,                  3+5+8+12,
(-29/4|  9/4),-7.25000, 2.25000,-10.34005, -2.26442,  142,                  3+5+8+12,
( -9/4| -5  ),-2.25000,-5.00000, -3.20898,-10.08696,  142,                  6+7+9+10,
( -5  | -9/4),-5.00000,-2.25000, -7.13107, -7.82254,  142,                  1+2+4+11,
( 23/4|  5/4), 5.75000, 1.25000,  8.20073,  6.79326,  143,                  3+5+8+12,
(  5/4| 23/4), 1.25000, 5.75000,  1.78277, 10.49867,  143,                  3+5+8+12,
(  7  | -5/4), 7.00000,-1.25000,  9.98350,  3.70541,  143,                  1+2+4+11,
( -5/4|  7  ),-1.25000, 7.00000, -1.78277, 10.49867,  143,                  6+7+9+10,
(  7  |-23/4), 7.00000,-5.75000,  9.98350, -3.70541,  143,                  1+2+4+11,
(-23/4|  7  ),-5.75000, 7.00000, -8.20073,  6.79326,  143,                  6+7+9+10,
( 23/4| -7  ), 5.75000,-7.00000,  8.20073, -6.79326,  143,                  6+7+9+10,
( -7  | 23/4),-7.00000, 5.75000, -9.98350,  3.70541,  143,                  1+2+4+11,
(  5/4| -7  ), 1.25000,-7.00000,  1.78277,-10.49867,  143,                  6+7+9+10,
( -7  |  5/4),-7.00000, 1.25000, -9.98350, -3.70541,  143,                  1+2+4+11,
( -5/4|-23/4),-1.25000,-5.75000, -1.78277,-10.49867,  143,                  3+5+8+12,
(-23/4| -5/4),-5.75000,-1.25000, -8.20073, -6.79326,  143,                  3+5+8+12,
( 21/4|  2  ), 5.25000, 2.00000,  7.48762,  7.61668,  144,                  6+7+9+10,
(  2  | 21/4), 2.00000, 5.25000,  2.85243, 10.29281,  144,                  1+2+4+11,
( 29/4| -2  ), 7.25000,-2.00000, 10.34005,  2.67613,  144,                  6+7+9+10,
( -2  | 29/4),-2.00000, 7.25000, -2.85243, 10.29281,  144,                  1+2+4+11,
( 29/4|-21/4), 7.25000,-5.25000, 10.34005, -2.67613,  144,                  3+5+8+12,
(-21/4| 29/4),-5.25000, 7.25000, -7.48762,  7.61668,  144,                  3+5+8+12,
( 21/4|-29/4), 5.25000,-7.25000,  7.48762, -7.61668,  144,                  3+5+8+12,
(-29/4| 21/4),-7.25000, 5.25000,-10.34005,  2.67613,  144,                  3+5+8+12,
(  2  |-29/4), 2.00000,-7.25000,  2.85243,-10.29281,  144,                  1+2+4+11,
(-29/4|  2  ),-7.25000, 2.00000,-10.34005, -2.67613,  144,                  6+7+9+10,
( -2  |-21/4),-2.00000,-5.25000, -2.85243,-10.29281,  144,                  1+2+4+11,
(-21/4| -2  ),-5.25000,-2.00000, -7.48762, -7.61668,  144,                  6+7+9+10,
(  4  |  7/2), 4.00000, 3.50000,  5.70486,  9.05767,  145,                  1+2+4+11,
(  7/2|  4  ), 3.50000, 4.00000,  4.99175,  9.46939,  145,                  6+7+9+10,
( 15/2| -7/2), 7.50000,-3.50000, 10.69660,  0.41171,  145,                  3+5+8+12,
( -7/2| 15/2),-3.50000, 7.50000, -4.99175,  9.46939,  145,                  3+5+8+12,
( 15/2| -4  ), 7.50000,-4.00000, 10.69660, -0.41171,  145,                  6+7+9+10,
( -4  | 15/2),-4.00000, 7.50000, -5.70486,  9.05767,  145,                  1+2+4+11,
(  4  |-15/2), 4.00000,-7.50000,  5.70486, -9.05767,  145,                  1+2+4+11,
(-15/2|  4  ),-7.50000, 4.00000,-10.69660,  0.41171,  145,                  6+7+9+10,
(  7/2|-15/2), 3.50000,-7.50000,  4.99175, -9.46939,  145,                  3+5+8+12,
(-15/2|  7/2),-7.50000, 3.50000,-10.69660, -0.41171,  145,                  3+5+8+12,
( -7/2| -4  ),-3.50000,-4.00000, -4.99175, -9.46939,  145,                  6+7+9+10,
( -4  | -7/2),-4.00000,-3.50000, -5.70486, -9.05767,  145,                  1+2+4+11,
( 13/2|  0  ), 6.50000, 0.00000,  9.27039,  5.35226,  146,                  6+7+9+10,
(  0  | 13/2), 0.00000, 6.50000,  0.00000, 10.70452,  146,                  1+2+4+11,
( 13/2|-13/2), 6.50000,-6.50000,  9.27039, -5.35226,  146,                  3+5+8+12,
(-13/2| 13/2),-6.50000, 6.50000, -9.27039,  5.35226,  146,                  3+5+8+12,
(  0  |-13/2), 0.00000,-6.50000,  0.00000,-10.70452,  146,                  1+2+4+11,
(-13/2|  0  ),-6.50000, 0.00000, -9.27039, -5.35226,  146,                  6+7+9+10,
(  9/2|  3  ), 4.50000, 3.00000,  6.41796,  8.64596,  147,                  6+7+9+10,
(  3  |  9/2), 3.00000, 4.50000,  4.27864,  9.88110,  147,                  1+2+4+11,
( 15/2| -3  ), 7.50000,-3.00000, 10.69660,  1.23514,  147,                  6+7+9+10,
( -3  | 15/2),-3.00000, 7.50000, -4.27864,  9.88110,  147,                  1+2+4+11,
( 15/2| -9/2), 7.50000,-4.50000, 10.69660, -1.23514,  147,                  3+5+8+12,
( -9/2| 15/2),-4.50000, 7.50000, -6.41796,  8.64596,  147,                  3+5+8+12,
(  9/2|-15/2), 4.50000,-7.50000,  6.41796, -8.64596,  147,                  3+5+8+12,
(-15/2|  9/2),-7.50000, 4.50000,-10.69660,  1.23514,  147,                  3+5+8+12,
(  3  |-15/2), 3.00000,-7.50000,  4.27864, -9.88110,  147,                  1+2+4+11,
(-15/2|  3  ),-7.50000, 3.00000,-10.69660, -1.23514,  147,                  6+7+9+10,
( -3  | -9/2),-3.00000,-4.50000, -4.27864, -9.88110,  147,                  1+2+4+11,
( -9/2| -3  ),-4.50000,-3.00000, -6.41796, -8.64596,  147,                  6+7+9+10,
(  6  |  1  ), 6.00000, 1.00000,  8.55728,  6.58740,  148,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  |  6  ), 1.00000, 6.00000,  1.42621, 10.70452,  148,1+2+3+4+5+6+7+8+9+10+11+12,
(  7  | -1  ), 7.00000,-1.00000,  9.98350,  4.11712,  148,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  7  ),-1.00000, 7.00000, -1.42621, 10.70452,  148,1+2+3+4+5+6+7+8+9+10+11+12,
(  7  | -6  ), 7.00000,-6.00000,  9.98350, -4.11712,  148,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  |  7  ),-6.00000, 7.00000, -8.55728,  6.58740,  148,1+2+3+4+5+6+7+8+9+10+11+12,
(  6  | -7  ), 6.00000,-7.00000,  8.55728, -6.58740,  148,1+2+3+4+5+6+7+8+9+10+11+12,
( -7  |  6  ),-7.00000, 6.00000, -9.98350,  4.11712,  148,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  | -7  ), 1.00000,-7.00000,  1.42621,-10.70452,  148,1+2+3+4+5+6+7+8+9+10+11+12,
( -7  |  1  ),-7.00000, 1.00000, -9.98350, -4.11712,  148,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  | -6  ),-1.00000,-6.00000, -1.42621,-10.70452,  148,1+2+3+4+5+6+7+8+9+10+11+12,
( -6  | -1  ),-6.00000,-1.00000, -8.55728, -6.58740,  148,1+2+3+4+5+6+7+8+9+10+11+12,
(  5  |  5/2), 5.00000, 2.50000,  7.13107,  8.23425,  149,                  1+2+4+11,
(  5/2|  5  ), 2.50000, 5.00000,  3.56553, 10.29281,  149,                  6+7+9+10,
( 15/2| -5/2), 7.50000,-2.50000, 10.69660,  2.05856,  149,                  3+5+8+12,
( -5/2| 15/2),-2.50000, 7.50000, -3.56553, 10.29281,  149,                  3+5+8+12,
( 15/2| -5  ), 7.50000,-5.00000, 10.69660, -2.05856,  149,                  6+7+9+10,
( -5  | 15/2),-5.00000, 7.50000, -7.13107,  8.23425,  149,                  1+2+4+11,
(  5  |-15/2), 5.00000,-7.50000,  7.13107, -8.23425,  149,                  1+2+4+11,
(-15/2|  5  ),-7.50000, 5.00000,-10.69660,  2.05856,  149,                  6+7+9+10,
(  5/2|-15/2), 2.50000,-7.50000,  3.56553,-10.29281,  149,                  3+5+8+12,
(-15/2|  5/2),-7.50000, 2.50000,-10.69660, -2.05856,  149,                  3+5+8+12,
( -5/2| -5  ),-2.50000,-5.00000, -3.56553,-10.29281,  149,                  6+7+9+10,
( -5  | -5/2),-5.00000,-2.50000, -7.13107, -8.23425,  149,                  1+2+4+11,
( 25/4|  3/4), 6.25000, 0.75000,  8.91384,  6.38154,  150,                  3+5+8+12,
(  3/4| 25/4), 0.75000, 6.25000,  1.06966, 10.91038,  150,                  3+5+8+12,
(  7  | -3/4), 7.00000,-0.75000,  9.98350,  4.52884,  150,                  1+2+4+11,
( -3/4|  7  ),-0.75000, 7.00000, -1.06966, 10.91038,  150,                  6+7+9+10,
(  7  |-25/4), 7.00000,-6.25000,  9.98350, -4.52884,  150,                  1+2+4+11,
(-25/4|  7  ),-6.25000, 7.00000, -8.91384,  6.38154,  150,                  6+7+9+10,
( 25/4| -7  ), 6.25000,-7.00000,  8.91384, -6.38154,  150,                  6+7+9+10,
( -7  | 25/4),-7.00000, 6.25000, -9.98350,  4.52884,  150,                  1+2+4+11,
(  3/4| -7  ), 0.75000,-7.00000,  1.06966,-10.91038,  150,                  6+7+9+10,
( -7  |  3/4),-7.00000, 0.75000, -9.98350, -4.52884,  150,                  1+2+4+11,
( -3/4|-25/4),-0.75000,-6.25000, -1.06966,-10.91038,  150,                  3+5+8+12,
(-25/4| -3/4),-6.25000,-0.75000, -8.91384, -6.38154,  150,                  3+5+8+12,
(  6  |  5/4), 6.00000, 1.25000,  8.55728,  6.99911,  151,                  1+2+4+11,
(  5/4|  6  ), 1.25000, 6.00000,  1.78277, 10.91038,  151,                  6+7+9+10,
( 29/4| -5/4), 7.25000,-1.25000, 10.34005,  3.91127,  151,                  3+5+8+12,
( -5/4| 29/4),-1.25000, 7.25000, -1.78277, 10.91038,  151,                  3+5+8+12,
( 29/4| -6  ), 7.25000,-6.00000, 10.34005, -3.91127,  151,                  6+7+9+10,
( -6  | 29/4),-6.00000, 7.25000, -8.55728,  6.99911,  151,                  1+2+4+11,
(  6  |-29/4), 6.00000,-7.25000,  8.55728, -6.99911,  151,                  1+2+4+11,
(-29/4|  6  ),-7.25000, 6.00000,-10.34005,  3.91127,  151,                  6+7+9+10,
(  5/4|-29/4), 1.25000,-7.25000,  1.78277,-10.91038,  151,                  3+5+8+12,
(-29/4|  5/4),-7.25000, 1.25000,-10.34005, -3.91127,  151,                  3+5+8+12,
( -5/4| -6  ),-1.25000,-6.00000, -1.78277,-10.91038,  151,                  6+7+9+10,
( -6  | -5/4),-6.00000,-1.25000, -8.55728, -6.99911,  151,                  1+2+4+11,
(  4  | 15/4), 4.00000, 3.75000,  5.70486,  9.46939,  152,                  1+2+4+11,
( 15/4|  4  ), 3.75000, 4.00000,  5.34830,  9.67524,  152,                  6+7+9+10,
( 31/4|-15/4), 7.75000,-3.75000, 11.05316,  0.20586,  152,                  3+5+8+12,
(-15/4| 31/4),-3.75000, 7.75000, -5.34830,  9.67524,  152,                  3+5+8+12,
( 31/4| -4  ), 7.75000,-4.00000, 11.05316, -0.20586,  152,                  6+7+9+10,
( -4  | 31/4),-4.00000, 7.75000, -5.70486,  9.46939,  152,                  1+2+4+11,
(  4  |-31/4), 4.00000,-7.75000,  5.70486, -9.46939,  152,                  1+2+4+11,
(-31/4|  4  ),-7.75000, 4.00000,-11.05316,  0.20586,  152,                  6+7+9+10,
( 15/4|-31/4), 3.75000,-7.75000,  5.34830, -9.67524,  152,                  3+5+8+12,
(-31/4| 15/4),-7.75000, 3.75000,-11.05316, -0.20586,  152,                  3+5+8+12,
(-15/4| -4  ),-3.75000,-4.00000, -5.34830, -9.67524,  152,                  6+7+9+10,
( -4  |-15/4),-4.00000,-3.75000, -5.70486, -9.46939,  152,                  1+2+4+11,
( 11/2|  2  ), 5.50000, 2.00000,  7.84418,  7.82254,  153,                  6+7+9+10,
(  2  | 11/2), 2.00000, 5.50000,  2.85243, 10.70452,  153,                  1+2+4+11,
( 15/2| -2  ), 7.50000,-2.00000, 10.69660,  2.88199,  153,                  6+7+9+10,
( -2  | 15/2),-2.00000, 7.50000, -2.85243, 10.70452,  153,                  1+2+4+11,
( 15/2|-11/2), 7.50000,-5.50000, 10.69660, -2.88199,  153,                  3+5+8+12,
(-11/2| 15/2),-5.50000, 7.50000, -7.84418,  7.82254,  153,                  3+5+8+12,
( 11/2|-15/2), 5.50000,-7.50000,  7.84418, -7.82254,  153,                  3+5+8+12,
(-15/2| 11/2),-7.50000, 5.50000,-10.69660,  2.88199,  153,                  3+5+8+12,
(  2  |-15/2), 2.00000,-7.50000,  2.85243,-10.70452,  153,                  1+2+4+11,
(-15/2|  2  ),-7.50000, 2.00000,-10.69660, -2.88199,  153,                  6+7+9+10,
( -2  |-11/2),-2.00000,-5.50000, -2.85243,-10.70452,  153,                  1+2+4+11,
(-11/2| -2  ),-5.50000,-2.00000, -7.84418, -7.82254,  153,                  6+7+9+10,
( 27/4|  0  ), 6.75000, 0.00000,  9.62694,  5.55812,  154,                  6+7+9+10,
(  0  | 27/4), 0.00000, 6.75000,  0.00000, 11.11624,  154,                  1+2+4+11,
( 27/4|-27/4), 6.75000,-6.75000,  9.62694, -5.55812,  154,                  3+5+8+12,
(-27/4| 27/4),-6.75000, 6.75000, -9.62694,  5.55812,  154,                  3+5+8+12,
(  0  |-27/4), 0.00000,-6.75000,  0.00000,-11.11624,  154,                  1+2+4+11,
(-27/4|  0  ),-6.75000, 0.00000, -9.62694, -5.55812,  154,                  6+7+9+10,
( 13/2|  1/2), 6.50000, 0.50000,  9.27039,  6.17569,  155,                  3+5+8+12,
(  1/2| 13/2), 0.50000, 6.50000,  0.71311, 11.11624,  155,                  3+5+8+12,
(  7  | -1/2), 7.00000,-0.50000,  9.98350,  4.94055,  155,                  1+2+4+11,
( -1/2|  7  ),-0.50000, 7.00000, -0.71311, 11.11624,  155,                  6+7+9+10,
(  7  |-13/2), 7.00000,-6.50000,  9.98350, -4.94055,  155,                  1+2+4+11,
(-13/2|  7  ),-6.50000, 7.00000, -9.27039,  6.17569,  155,                  6+7+9+10,
( 13/2| -7  ), 6.50000,-7.00000,  9.27039, -6.17569,  155,                  6+7+9+10,
( -7  | 13/2),-7.00000, 6.50000, -9.98350,  4.94055,  155,                  1+2+4+11,
(  1/2| -7  ), 0.50000,-7.00000,  0.71311,-11.11624,  155,                  6+7+9+10,
( -7  |  1/2),-7.00000, 0.50000, -9.98350, -4.94055,  155,                  1+2+4+11,
( -1/2|-13/2),-0.50000,-6.50000, -0.71311,-11.11624,  155,                  3+5+8+12,
(-13/2| -1/2),-6.50000,-0.50000, -9.27039, -6.17569,  155,                  3+5+8+12,
( 19/4|  3  ), 4.75000, 3.00000,  6.77452,  8.85182,  156,                  6+7+9+10,
(  3  | 19/4), 3.00000, 4.75000,  4.27864, 10.29281,  156,                  1+2+4+11,
( 31/4| -3  ), 7.75000,-3.00000, 11.05316,  1.44099,  156,                  6+7+9+10,
( -3  | 31/4),-3.00000, 7.75000, -4.27864, 10.29281,  156,                  1+2+4+11,
( 31/4|-19/4), 7.75000,-4.75000, 11.05316, -1.44099,  156,                  3+5+8+12,
(-19/4| 31/4),-4.75000, 7.75000, -6.77452,  8.85182,  156,                  3+5+8+12,
( 19/4|-31/4), 4.75000,-7.75000,  6.77452, -8.85182,  156,                  3+5+8+12,
(-31/4| 19/4),-7.75000, 4.75000,-11.05316,  1.44099,  156,                  3+5+8+12,
(  3  |-31/4), 3.00000,-7.75000,  4.27864,-10.29281,  156,                  1+2+4+11,
(-31/4|  3  ),-7.75000, 3.00000,-11.05316, -1.44099,  156,                  6+7+9+10,
( -3  |-19/4),-3.00000,-4.75000, -4.27864,-10.29281,  156,                  1+2+4+11,
(-19/4| -3  ),-4.75000,-3.00000, -6.77452, -8.85182,  156,                  6+7+9+10,
(  5  | 11/4), 5.00000, 2.75000,  7.13107,  8.64596,  157,                  1+2+4+11,
( 11/4|  5  ), 2.75000, 5.00000,  3.92209, 10.49867,  157,                  6+7+9+10,
( 31/4|-11/4), 7.75000,-2.75000, 11.05316,  1.85271,  157,                  3+5+8+12,
(-11/4| 31/4),-2.75000, 7.75000, -3.92209, 10.49867,  157,                  3+5+8+12,
( 31/4| -5  ), 7.75000,-5.00000, 11.05316, -1.85271,  157,                  6+7+9+10,
( -5  | 31/4),-5.00000, 7.75000, -7.13107,  8.64596,  157,                  1+2+4+11,
(  5  |-31/4), 5.00000,-7.75000,  7.13107, -8.64596,  157,                  1+2+4+11,
(-31/4|  5  ),-7.75000, 5.00000,-11.05316,  1.85271,  157,                  6+7+9+10,
( 11/4|-31/4), 2.75000,-7.75000,  3.92209,-10.49867,  157,                  3+5+8+12,
(-31/4| 11/4),-7.75000, 2.75000,-11.05316, -1.85271,  157,                  3+5+8+12,
(-11/4| -5  ),-2.75000,-5.00000, -3.92209,-10.49867,  157,                  6+7+9+10,
( -5  |-11/4),-5.00000,-2.75000, -7.13107, -8.64596,  157,                  1+2+4+11,
( 25/4|  1  ), 6.25000, 1.00000,  8.91384,  6.79326,  158,                  6+7+9+10,
(  1  | 25/4), 1.00000, 6.25000,  1.42621, 11.11624,  158,                  1+2+4+11,
( 29/4| -1  ), 7.25000,-1.00000, 10.34005,  4.32298,  158,                  6+7+9+10,
( -1  | 29/4),-1.00000, 7.25000, -1.42621, 11.11624,  158,                  1+2+4+11,
( 29/4|-25/4), 7.25000,-6.25000, 10.34005, -4.32298,  158,                  3+5+8+12,
(-25/4| 29/4),-6.25000, 7.25000, -8.91384,  6.79326,  158,                  3+5+8+12,
( 25/4|-29/4), 6.25000,-7.25000,  8.91384, -6.79326,  158,                  3+5+8+12,
(-29/4| 25/4),-7.25000, 6.25000,-10.34005,  4.32298,  158,                  3+5+8+12,
(  1  |-29/4), 1.00000,-7.25000,  1.42621,-11.11624,  158,                  1+2+4+11,
(-29/4|  1  ),-7.25000, 1.00000,-10.34005, -4.32298,  158,                  6+7+9+10,
( -1  |-25/4),-1.00000,-6.25000, -1.42621,-11.11624,  158,                  1+2+4+11,
(-25/4| -1  ),-6.25000,-1.00000, -8.91384, -6.79326,  158,                  6+7+9+10,
(  6  |  3/2), 6.00000, 1.50000,  8.55728,  7.41082,  159,                  1+2+4+11,
(  3/2|  6  ), 1.50000, 6.00000,  2.13932, 11.11624,  159,                  6+7+9+10,
( 15/2| -3/2), 7.50000,-1.50000, 10.69660,  3.70541,  159,                  3+5+8+12,
( -3/2| 15/2),-1.50000, 7.50000, -2.13932, 11.11624,  159,                  3+5+8+12,
( 15/2| -6  ), 7.50000,-6.00000, 10.69660, -3.70541,  159,                  6+7+9+10,
( -6  | 15/2),-6.00000, 7.50000, -8.55728,  7.41082,  159,                  1+2+4+11,
(  6  |-15/2), 6.00000,-7.50000,  8.55728, -7.41082,  159,                  1+2+4+11,
(-15/2|  6  ),-7.50000, 6.00000,-10.69660,  3.70541,  159,                  6+7+9+10,
(  3/2|-15/2), 1.50000,-7.50000,  2.13932,-11.11624,  159,                  3+5+8+12,
(-15/2|  3/2),-7.50000, 1.50000,-10.69660, -3.70541,  159,                  3+5+8+12,
( -3/2| -6  ),-1.50000,-6.00000, -2.13932,-11.11624,  159,                  6+7+9+10,
( -6  | -3/2),-6.00000,-1.50000, -8.55728, -7.41082,  159,                  1+2+4+11,
( 27/4|  1/4), 6.75000, 0.25000,  9.62694,  5.96983,  160,                  3+5+8+12,
(  1/4| 27/4), 0.25000, 6.75000,  0.35655, 11.32209,  160,                  3+5+8+12,
(  7  | -1/4), 7.00000,-0.25000,  9.98350,  5.35226,  160,                  1+2+4+11,
( -1/4|  7  ),-0.25000, 7.00000, -0.35655, 11.32209,  160,                  6+7+9+10,
(  7  |-27/4), 7.00000,-6.75000,  9.98350, -5.35226,  160,                  1+2+4+11,
(-27/4|  7  ),-6.75000, 7.00000, -9.62694,  5.96983,  160,                  6+7+9+10,
( 27/4| -7  ), 6.75000,-7.00000,  9.62694, -5.96983,  160,                  6+7+9+10,
( -7  | 27/4),-7.00000, 6.75000, -9.98350,  5.35226,  160,                  1+2+4+11,
(  1/4| -7  ), 0.25000,-7.00000,  0.35655,-11.32209,  160,                  6+7+9+10,
( -7  |  1/4),-7.00000, 0.25000, -9.98350, -5.35226,  160,                  1+2+4+11,
( -1/4|-27/4),-0.25000,-6.75000, -0.35655,-11.32209,  160,                  3+5+8+12,
(-27/4| -1/4),-6.75000,-0.25000, -9.62694, -5.96983,  160,                  3+5+8+12,
(  4  |  4  ), 4.00000, 4.00000,  5.70486,  9.88110,  161,1+2+3+4+5+6+7+8+9+10+11+12,
(  8  | -4  ), 8.00000,-4.00000, 11.40971, -0.00000,  161,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  |  8  ),-4.00000, 8.00000, -5.70486,  9.88110,  161,1+2+3+4+5+6+7+8+9+10+11+12,
(  4  | -8  ), 4.00000,-8.00000,  5.70486, -9.88110,  161,1+2+3+4+5+6+7+8+9+10+11+12,
( -8  |  4  ),-8.00000, 4.00000,-11.40971,  0.00000,  161,1+2+3+4+5+6+7+8+9+10+11+12,
( -4  | -4  ),-4.00000,-4.00000, -5.70486, -9.88110,  161,1+2+3+4+5+6+7+8+9+10+11+12,
( 17/4| 15/4), 4.25000, 3.75000,  6.06141,  9.67524,  162,                  3+5+8+12,
( 15/4| 17/4), 3.75000, 4.25000,  5.34830, 10.08696,  162,                  3+5+8+12,
(  8  |-15/4), 8.00000,-3.75000, 11.40971,  0.41171,  162,                  1+2+4+11,
(-15/4|  8  ),-3.75000, 8.00000, -5.34830, 10.08696,  162,                  6+7+9+10,
(  8  |-17/4), 8.00000,-4.25000, 11.40971, -0.41171,  162,                  1+2+4+11,
(-17/4|  8  ),-4.25000, 8.00000, -6.06141,  9.67524,  162,                  6+7+9+10,
( 17/4| -8  ), 4.25000,-8.00000,  6.06141, -9.67524,  162,                  6+7+9+10,
( -8  | 17/4),-8.00000, 4.25000,-11.40971,  0.41171,  162,                  1+2+4+11,
( 15/4| -8  ), 3.75000,-8.00000,  5.34830,-10.08696,  162,                  6+7+9+10,
( -8  | 15/4),-8.00000, 3.75000,-11.40971, -0.41171,  162,                  1+2+4+11,
(-15/4|-17/4),-3.75000,-4.25000, -5.34830,-10.08696,  162,                  3+5+8+12,
(-17/4|-15/4),-4.25000,-3.75000, -6.06141, -9.67524,  162,                  3+5+8+12,
(  9/2|  7/2), 4.50000, 3.50000,  6.41796,  9.46939,  163,                  3+5+8+12,
(  7/2|  9/2), 3.50000, 4.50000,  4.99175, 10.29281,  163,                  3+5+8+12,
(  8  | -7/2), 8.00000,-3.50000, 11.40971,  0.82342,  163,                  1+2+4+11,
( -7/2|  8  ),-3.50000, 8.00000, -4.99175, 10.29281,  163,                  6+7+9+10,
(  8  | -9/2), 8.00000,-4.50000, 11.40971, -0.82342,  163,                  1+2+4+11,
( -9/2|  8  ),-4.50000, 8.00000, -6.41796,  9.46939,  163,                  6+7+9+10,
(  9/2| -8  ), 4.50000,-8.00000,  6.41796, -9.46939,  163,                  6+7+9+10,
( -8  |  9/2),-8.00000, 4.50000,-11.40971,  0.82342,  163,                  1+2+4+11,
(  7/2| -8  ), 3.50000,-8.00000,  4.99175,-10.29281,  163,                  6+7+9+10,
( -8  |  7/2),-8.00000, 3.50000,-11.40971, -0.82342,  163,                  1+2+4+11,
