# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  1/10| 39/10), 0.10000, 3.90000,  0.22714, 10.36007,  984,        1,
( -1/10|  4   ),-0.10000, 4.00000, -0.22714, 10.36007,  984,        1,
(  4   |-39/10), 4.00000,-3.90000,  9.08566, -4.98333,  984,        1,
( 39/10| -4   ), 3.90000,-4.00000,  8.85851, -5.37675,  984,        1,
( -4   |  1/10),-4.00000, 0.10000, -9.08566, -4.98333,  984,        1,
(-39/10| -1/10),-3.90000,-0.10000, -8.85851, -5.37675,  984,        1,
( 19/5 |  3/10), 3.80000, 0.30000,  8.63137,  5.77017,  985,        1,
( 41/10| -3/10), 4.10000,-0.30000,  9.31280,  4.58991,  985,        1,
(-19/5 | 41/10),-3.80000, 4.10000, -8.63137,  5.77017,  985,        1,
(-41/10| 19/5 ),-4.10000, 3.80000, -9.31280,  4.58991,  985,        1,
(  3/10|-41/10), 0.30000,-4.10000,  0.68142,-10.36007,  985,        1,
( -3/10|-19/5 ),-0.30000,-3.80000, -0.68142,-10.36007,  985,        1,
(  3/10| 19/5 ), 0.30000, 3.80000,  0.68142, 10.36007,  986,        1,
( -3/10| 41/10),-0.30000, 4.10000, -0.68142, 10.36007,  986,        1,
( 41/10|-19/5 ), 4.10000,-3.80000,  9.31280, -4.58991,  986,        1,
( 19/5 |-41/10), 3.80000,-4.10000,  8.63137, -5.77017,  986,        1,
(-41/10|  3/10),-4.10000, 0.30000, -9.31280, -4.58991,  986,        1,
(-19/5 | -3/10),-3.80000,-0.30000, -8.63137, -5.77017,  986,        1,
(  4/5 |  7/2 ), 0.80000, 3.50000,  1.81713, 10.22893,  987,        1,
( -4/5 | 43/10),-0.80000, 4.30000, -1.81713, 10.22893,  987,        1,
( 43/10| -7/2 ), 4.30000,-3.50000,  9.76708, -3.54078,  987,        1,
(  7/2 |-43/10), 3.50000,-4.30000,  7.94995, -6.68815,  987,        1,
(-43/10|  4/5 ),-4.30000, 0.80000, -9.76708, -3.54078,  987,        1,
( -7/2 | -4/5 ),-3.50000,-0.80000, -7.94995, -6.68815,  987,        1,
(  7/2 |  4/5 ), 3.50000, 0.80000,  7.94995,  6.68815,  988,        1,
( 43/10| -4/5 ), 4.30000,-0.80000,  9.76708,  3.54078,  988,        1,
( -7/2 | 43/10),-3.50000, 4.30000, -7.94995,  6.68815,  988,        1,
(-43/10|  7/2 ),-4.30000, 3.50000, -9.76708,  3.54078,  988,        1,
(  4/5 |-43/10), 0.80000,-4.30000,  1.81713,-10.22893,  988,        1,
( -4/5 | -7/2 ),-0.80000,-3.50000, -1.81713,-10.22893,  988,        1,
( 33/10| 11/10), 3.30000, 1.10000,  7.49567,  7.21271,  989,        1,
( 22/5 |-11/10), 4.40000,-1.10000,  9.99422,  2.88508,  989,        1,
(-33/10| 22/5 ),-3.30000, 4.40000, -7.49567,  7.21271,  989,        1,
(-22/5 | 33/10),-4.40000, 3.30000, -9.99422,  2.88508,  989,        1,
( 11/10|-22/5 ), 1.10000,-4.40000,  2.49856,-10.09779,  989,        1,
(-11/10|-33/10),-1.10000,-3.30000, -2.49856,-10.09779,  989,        1,
( 11/10| 33/10), 1.10000, 3.30000,  2.49856, 10.09779,  990,        1,
(-11/10| 22/5 ),-1.10000, 4.40000, -2.49856, 10.09779,  990,        1,
( 22/5 |-33/10), 4.40000,-3.30000,  9.99422, -2.88508,  990,        1,
( 33/10|-22/5 ), 3.30000,-4.40000,  7.49567, -7.21271,  990,        1,
(-22/5 | 11/10),-4.40000, 1.10000, -9.99422, -2.88508,  990,        1,
(-33/10|-11/10),-3.30000,-1.10000, -7.49567, -7.21271,  990,        1,
(  3/2 |  3   ), 1.50000, 3.00000,  3.40712,  9.83551,  991,        1,
( -3/2 |  9/2 ),-1.50000, 4.50000, -3.40712,  9.83551,  991,        1,
(  9/2 | -3   ), 4.50000,-3.00000, 10.22136, -1.96710,  991,        1,
(  3   | -9/2 ), 3.00000,-4.50000,  6.81424, -7.86841,  991,        1,
( -9/2 |  3/2 ),-4.50000, 1.50000,-10.22136, -1.96710,  991,        1,
( -3   | -3/2 ),-3.00000,-1.50000, -6.81424, -7.86841,  991,        1,
(  3   |  3/2 ), 3.00000, 1.50000,  6.81424,  7.86841,  992,        1,
(  9/2 | -3/2 ), 4.50000,-1.50000, 10.22136,  1.96710,  992,        1,
( -3   |  9/2 ),-3.00000, 4.50000, -6.81424,  7.86841,  992,        1,
( -9/2 |  3   ),-4.50000, 3.00000,-10.22136,  1.96710,  992,        1,
(  3/2 | -9/2 ), 1.50000,-4.50000,  3.40712, -9.83551,  992,        1,
( -3/2 | -3   ),-1.50000,-3.00000, -3.40712, -9.83551,  992,        1,
( 37/10|  1/2 ), 3.70000, 0.50000,  8.40423,  6.16359,  993,        1,
( 21/5 | -1/2 ), 4.20000,-0.50000,  9.53994,  4.19648,  993,        1,
(-37/10| 21/5 ),-3.70000, 4.20000, -8.40423,  6.16359,  993,        1,
(-21/5 | 37/10),-4.20000, 3.70000, -9.53994,  4.19648,  993,        1,
(  1/2 |-21/5 ), 0.50000,-4.20000,  1.13571,-10.36007,  993,        1,
( -1/2 |-37/10),-0.50000,-3.70000, -1.13571,-10.36007,  993,        1,
(  1/2 | 37/10), 0.50000, 3.70000,  1.13571, 10.36007,  994,        1,
( -1/2 | 21/5 ),-0.50000, 4.20000, -1.13571, 10.36007,  994,        1,
( 21/5 |-37/10), 4.20000,-3.70000,  9.53994, -4.19648,  994,        1,
( 37/10|-21/5 ), 3.70000,-4.20000,  8.40423, -6.16359,  994,        1,
(-21/5 |  1/2 ),-4.20000, 0.50000, -9.53994, -4.19648,  994,        1,
(-37/10| -1/2 ),-3.70000,-0.50000, -8.40423, -6.16359,  994,        1,
( 23/10| 23/10), 2.30000, 2.30000,  5.22425,  9.04867,  995,        1,
( 23/5 |-23/10), 4.60000,-2.30000, 10.44850, -0.00000,  995,        1,
(-23/10| 23/5 ),-2.30000, 4.60000, -5.22425,  9.04867,  995,        1,
( 23/10|-23/5 ), 2.30000,-4.60000,  5.22425, -9.04867,  995,        1,
(-23/5 | 23/10),-4.60000, 2.30000,-10.44850,  0.00000,  995,        1,
(-23/10|-23/10),-2.30000,-2.30000, -5.22425, -9.04867,  995,        1,
( 11/5 | 12/5 ), 2.20000, 2.40000,  4.99711,  9.17981,  996,        1,
(-11/5 | 23/5 ),-2.20000, 4.60000, -4.99711,  9.17981,  996,        1,
( 23/5 |-12/5 ), 4.60000,-2.40000, 10.44850, -0.26228,  996,        1,
( 12/5 |-23/5 ), 2.40000,-4.60000,  5.45139, -8.91753,  996,        1,
(-23/5 | 11/5 ),-4.60000, 2.20000,-10.44850, -0.26228,  996,        1,
(-12/5 |-11/5 ),-2.40000,-2.20000, -5.45139, -8.91753,  996,        1,
( 12/5 | 11/5 ), 2.40000, 2.20000,  5.45139,  8.91753,  997,        1,
( 23/5 |-11/5 ), 4.60000,-2.20000, 10.44850,  0.26228,  997,        1,
(-12/5 | 23/5 ),-2.40000, 4.60000, -5.45139,  8.91753,  997,        1,
(-23/5 | 12/5 ),-4.60000, 2.40000,-10.44850,  0.26228,  997,        1,
( 11/5 |-23/5 ), 2.20000,-4.60000,  4.99711, -9.17981,  997,        1,
(-11/5 |-12/5 ),-2.20000,-2.40000, -4.99711, -9.17981,  997,        1,
( 21/10|  5/2 ), 2.10000, 2.50000,  4.76997,  9.31095,  998,        1,
(-21/10| 23/5 ),-2.10000, 4.60000, -4.76997,  9.31095,  998,        1,
( 23/5 | -5/2 ), 4.60000,-2.50000, 10.44850, -0.52456,  998,        1,
(  5/2 |-23/5 ), 2.50000,-4.60000,  5.67853, -8.78639,  998,        1,
(-23/5 | 21/10),-4.60000, 2.10000,-10.44850, -0.52456,  998,        1,
( -5/2 |-21/10),-2.50000,-2.10000, -5.67853, -8.78639,  998,        1,
(  5/2 | 21/10), 2.50000, 2.10000,  5.67853,  8.78639,  999,        1,
( 23/5 |-21/10), 4.60000,-2.10000, 10.44850,  0.52456,  999,        1,
( -5/2 | 23/5 ),-2.50000, 4.60000, -5.67853,  8.78639,  999,        1,
(-23/5 |  5/2 ),-4.60000, 2.50000,-10.44850,  0.52456,  999,        1,
( 21/10|-23/5 ), 2.10000,-4.60000,  4.76997, -9.31095,  999,        1,
(-21/10| -5/2 ),-2.10000,-2.50000, -4.76997, -9.31095,  999,        1,
(  7/5 | 31/10), 1.40000, 3.10000,  3.17998,  9.96665, 1000,        1,
( -7/5 |  9/2 ),-1.40000, 4.50000, -3.17998,  9.96665, 1000,        1,
(  9/2 |-31/10), 4.50000,-3.10000, 10.22136, -2.22938, 1000,        1,
( 31/10| -9/2 ), 3.10000,-4.50000,  7.04138, -7.73727, 1000,        1,
( -9/2 |  7/5 ),-4.50000, 1.40000,-10.22136, -2.22938, 1000,        1,
(-31/10| -7/5 ),-3.10000,-1.40000, -7.04138, -7.73727, 1000,        1,
( 31/10|  7/5 ), 3.10000, 1.40000,  7.04138,  7.73727, 1001,        1,
(  9/2 | -7/5 ), 4.50000,-1.40000, 10.22136,  2.22938, 1001,        1,
(-31/10|  9/2 ),-3.10000, 4.50000, -7.04138,  7.73727, 1001,        1,
( -9/2 | 31/10),-4.50000, 3.10000,-10.22136,  2.22938, 1001,        1,
(  7/5 | -9/2 ), 1.40000,-4.50000,  3.17998, -9.96665, 1001,        1,
( -7/5 |-31/10),-1.40000,-3.10000, -3.17998, -9.96665, 1001,        1,
(  2   | 13/5 ), 2.00000, 2.60000,  4.54283,  9.44209, 1002,        1,
( -2   | 23/5 ),-2.00000, 4.60000, -4.54283,  9.44209, 1002,        1,
( 23/5 |-13/5 ), 4.60000,-2.60000, 10.44850, -0.78684, 1002,        1,
( 13/5 |-23/5 ), 2.60000,-4.60000,  5.90568, -8.65525, 1002,        1,
(-23/5 |  2   ),-4.60000, 2.00000,-10.44850, -0.78684, 1002,        1,
(-13/5 | -2   ),-2.60000,-2.00000, -5.90568, -8.65525, 1002,        1,
( 13/5 |  2   ), 2.60000, 2.00000,  5.90568,  8.65525, 1003,        1,
( 23/5 | -2   ), 4.60000,-2.00000, 10.44850,  0.78684, 1003,        1,
(-13/5 | 23/5 ),-2.60000, 4.60000, -5.90568,  8.65525, 1003,        1,
(-23/5 | 13/5 ),-4.60000, 2.60000,-10.44850,  0.78684, 1003,        1,
(  2   |-23/5 ), 2.00000,-4.60000,  4.54283, -9.44209, 1003,        1,
( -2   |-13/5 ),-2.00000,-2.60000, -4.54283, -9.44209, 1003,        1,
(  1   | 17/5 ), 1.00000, 3.40000,  2.27141, 10.22893, 1004,        1,
( -1   | 22/5 ),-1.00000, 4.40000, -2.27141, 10.22893, 1004,        1,
( 22/5 |-17/5 ), 4.40000,-3.40000,  9.99422, -3.14736, 1004,        1,
( 17/5 |-22/5 ), 3.40000,-4.40000,  7.72281, -7.08157, 1004,        1,
(-22/5 |  1   ),-4.40000, 1.00000, -9.99422, -3.14736, 1004,        1,
(-17/5 | -1   ),-3.40000,-1.00000, -7.72281, -7.08157, 1004,        1,
( 17/5 |  1   ), 3.40000, 1.00000,  7.72281,  7.08157, 1005,        1,
( 22/5 | -1   ), 4.40000,-1.00000,  9.99422,  3.14736, 1005,        1,
(-17/5 | 22/5 ),-3.40000, 4.40000, -7.72281,  7.08157, 1005,        1,
(-22/5 | 17/5 ),-4.40000, 3.40000, -9.99422,  3.14736, 1005,        1,
(  1   |-22/5 ), 1.00000,-4.40000,  2.27141,-10.22893, 1005,        1,
( -1   |-17/5 ),-1.00000,-3.40000, -2.27141,-10.22893, 1005,        1,
( 18/5 |  7/10), 3.60000, 0.70000,  8.17709,  6.55701, 1006,        1,
( 43/10| -7/10), 4.30000,-0.70000,  9.76708,  3.80306, 1006,        1,
(-18/5 | 43/10),-3.60000, 4.30000, -8.17709,  6.55701, 1006,        1,
(-43/10| 18/5 ),-4.30000, 3.60000, -9.76708,  3.80306, 1006,        1,
(  7/10|-43/10), 0.70000,-4.30000,  1.58999,-10.36007, 1006,        1,
( -7/10|-18/5 ),-0.70000,-3.60000, -1.58999,-10.36007, 1006,        1,
(  7/10| 18/5 ), 0.70000, 3.60000,  1.58999, 10.36007, 1007,        1,
( -7/10| 43/10),-0.70000, 4.30000, -1.58999, 10.36007, 1007,        1,
( 43/10|-18/5 ), 4.30000,-3.60000,  9.76708, -3.80306, 1007,        1,
( 18/5 |-43/10), 3.60000,-4.30000,  8.17709, -6.55701, 1007,        1,
(-43/10|  7/10),-4.30000, 0.70000, -9.76708, -3.80306, 1007,        1,
(-18/5 | -7/10),-3.60000,-0.70000, -8.17709, -6.55701, 1007,        1,
(  0   |  4   ), 0.00000, 4.00000,  0.00000, 10.49121, 1008,        1,
(  4   | -4   ), 4.00000,-4.00000,  9.08566, -5.24561, 1008,        1,
( -4   |  0   ),-4.00000, 0.00000, -9.08566, -5.24561, 1008,        1,
(  4   |  0   ), 4.00000, 0.00000,  9.08566,  5.24561, 1009,        1,
( -4   |  4   ),-4.00000, 4.00000, -9.08566,  5.24561, 1009,        1,
(  0   | -4   ), 0.00000,-4.00000,  0.00000,-10.49121, 1009,        1,
( 39/10|  1/5 ), 3.90000, 0.20000,  8.85851,  5.63903, 1010,        1,
( 41/10| -1/5 ), 4.10000,-0.20000,  9.31280,  4.85219, 1010,        1,
(-39/10| 41/10),-3.90000, 4.10000, -8.85851,  5.63903, 1010,        1,
(-41/10| 39/10),-4.10000, 3.90000, -9.31280,  4.85219, 1010,        1,
(  1/5 |-41/10), 0.20000,-4.10000,  0.45428,-10.49121, 1010,        1,
( -1/5 |-39/10),-0.20000,-3.90000, -0.45428,-10.49121, 1010,        1,
( 19/10| 27/10), 1.90000, 2.70000,  4.31569,  9.57323, 1011,        1,
(-19/10| 23/5 ),-1.90000, 4.60000, -4.31569,  9.57323, 1011,        1,
( 23/5 |-27/10), 4.60000,-2.70000, 10.44850, -1.04912, 1011,        1,
( 27/10|-23/5 ), 2.70000,-4.60000,  6.13282, -8.52411, 1011,        1,
(-23/5 | 19/10),-4.60000, 1.90000,-10.44850, -1.04912, 1011,        1,
(-27/10|-19/10),-2.70000,-1.90000, -6.13282, -8.52411, 1011,        1,
( 27/10| 19/10), 2.70000, 1.90000,  6.13282,  8.52411, 1012,        1,
( 23/5 |-19/10), 4.60000,-1.90000, 10.44850,  1.04912, 1012,        1,
(-27/10| 23/5 ),-2.70000, 4.60000, -6.13282,  8.52411, 1012,        1,
(-23/5 | 27/10),-4.60000, 2.70000,-10.44850,  1.04912, 1012,        1,
( 19/10|-23/5 ), 1.90000,-4.60000,  4.31569, -9.57323, 1012,        1,
(-19/10|-27/10),-1.90000,-2.70000, -4.31569, -9.57323, 1012,        1,
(  1/5 | 39/10), 0.20000, 3.90000,  0.45428, 10.49121, 1013,        1,
( -1/5 | 41/10),-0.20000, 4.10000, -0.45428, 10.49121, 1013,        1,
( 41/10|-39/10), 4.10000,-3.90000,  9.31280, -4.85219, 1013,        1,
( 39/10|-41/10), 3.90000,-4.10000,  8.85851, -5.63903, 1013,        1,
(-41/10|  1/5 ),-4.10000, 0.20000, -9.31280, -4.85219, 1013,        1,
(-39/10| -1/5 ),-3.90000,-0.20000, -8.85851, -5.63903, 1013,        1,
( 16/5 | 13/10), 3.20000, 1.30000,  7.26852,  7.60613, 1014,        1,
(  9/2 |-13/10), 4.50000,-1.30000, 10.22136,  2.49166, 1014,        1,
(-16/5 |  9/2 ),-3.20000, 4.50000, -7.26852,  7.60613, 1014,        1,
( -9/2 | 16/5 ),-4.50000, 3.20000,-10.22136,  2.49166, 1014,        1,
( 13/10| -9/2 ), 1.30000,-4.50000,  2.95284,-10.09779, 1014,        1,
(-13/10|-16/5 ),-1.30000,-3.20000, -2.95284,-10.09779, 1014,        1,
( 13/10| 16/5 ), 1.30000, 3.20000,  2.95284, 10.09779, 1015,        1,
(-13/10|  9/2 ),-1.30000, 4.50000, -2.95284, 10.09779, 1015,        1,
(  9/2 |-16/5 ), 4.50000,-3.20000, 10.22136, -2.49166, 1015,        1,
( 16/5 | -9/2 ), 3.20000,-4.50000,  7.26852, -7.60613, 1015,        1,
( -9/2 | 13/10),-4.50000, 1.30000,-10.22136, -2.49166, 1015,        1,
(-16/5 |-13/10),-3.20000,-1.30000, -7.26852, -7.60613, 1015,        1,
( 14/5 |  9/5 ), 2.80000, 1.80000,  6.35996,  8.39297, 1016,        1,
( 23/5 | -9/5 ), 4.60000,-1.80000, 10.44850,  1.31140, 1016,        1,
(-14/5 | 23/5 ),-2.80000, 4.60000, -6.35996,  8.39297, 1016,        1,
(-23/5 | 14/5 ),-4.60000, 2.80000,-10.44850,  1.31140, 1016,        1,
(  9/5 |-23/5 ), 1.80000,-4.60000,  4.08855, -9.70437, 1016,        1,
( -9/5 |-14/5 ),-1.80000,-2.80000, -4.08855, -9.70437, 1016,        1,
(  9/5 | 14/5 ), 1.80000, 2.80000,  4.08855,  9.70437, 1017,        1,
( -9/5 | 23/5 ),-1.80000, 4.60000, -4.08855,  9.70437, 1017,        1,
( 23/5 |-14/5 ), 4.60000,-2.80000, 10.44850, -1.31140, 1017,        1,
( 14/5 |-23/5 ), 2.80000,-4.60000,  6.35996, -8.39297, 1017,        1,
(-23/5 |  9/5 ),-4.60000, 1.80000,-10.44850, -1.31140, 1017,        1,
(-14/5 | -9/5 ),-2.80000,-1.80000, -6.35996, -8.39297, 1017,        1,
(  2/5 | 19/5 ), 0.40000, 3.80000,  0.90857, 10.49121, 1018,        1,
( -2/5 | 21/5 ),-0.40000, 4.20000, -0.90857, 10.49121, 1018,        1,
( 21/5 |-19/5 ), 4.20000,-3.80000,  9.53994, -4.45876, 1018,        1,
( 19/5 |-21/5 ), 3.80000,-4.20000,  8.63137, -6.03245, 1018,        1,
(-21/5 |  2/5 ),-4.20000, 0.40000, -9.53994, -4.45876, 1018,        1,
(-19/5 | -2/5 ),-3.80000,-0.40000, -8.63137, -6.03245, 1018,        1,
( 19/5 |  2/5 ), 3.80000, 0.40000,  8.63137,  6.03245, 1019,        1,
( 21/5 | -2/5 ), 4.20000,-0.40000,  9.53994,  4.45876, 1019,        1,
(-19/5 | 21/5 ),-3.80000, 4.20000, -8.63137,  6.03245, 1019,        1,
(-21/5 | 19/5 ),-4.20000, 3.80000, -9.53994,  4.45876, 1019,        1,
(  2/5 |-21/5 ), 0.40000,-4.20000,  0.90857,-10.49121, 1019,        1,
( -2/5 |-19/5 ),-0.40000,-3.80000, -0.90857,-10.49121, 1019,        1,
(  9/10|  7/2 ), 0.90000, 3.50000,  2.04427, 10.36007, 1020,        1,
( -9/10| 22/5 ),-0.90000, 4.40000, -2.04427, 10.36007, 1020,        1,
( 22/5 | -7/2 ), 4.40000,-3.50000,  9.99422, -3.40964, 1020,        1,
(  7/2 |-22/5 ), 3.50000,-4.40000,  7.94995, -6.95043, 1020,        1,
(-22/5 |  9/10),-4.40000, 0.90000, -9.99422, -3.40964, 1020,        1,
( -7/2 | -9/10),-3.50000,-0.90000, -7.94995, -6.95043, 1020,        1,
(  7/2 |  9/10), 3.50000, 0.90000,  7.94995,  6.95043, 1021,        1,
( 22/5 | -9/10), 4.40000,-0.90000,  9.99422,  3.40964, 1021,        1,
( -7/2 | 22/5 ),-3.50000, 4.40000, -7.94995,  6.95043, 1021,        1,
(-22/5 |  7/2 ),-4.40000, 3.50000, -9.99422,  3.40964, 1021,        1,
(  9/10|-22/5 ), 0.90000,-4.40000,  2.04427,-10.36007, 1021,        1,
( -9/10| -7/2 ),-0.90000,-3.50000, -2.04427,-10.36007, 1021,        1,
( 17/10| 29/10), 1.70000, 2.90000,  3.86140,  9.83551, 1022,        1,
(-17/10| 23/5 ),-1.70000, 4.60000, -3.86140,  9.83551, 1022,        1,
( 23/5 |-29/10), 4.60000,-2.90000, 10.44850, -1.57368, 1022,        1,
( 29/10|-23/5 ), 2.90000,-4.60000,  6.58710, -8.26183, 1022,        1,
(-23/5 | 17/10),-4.60000, 1.70000,-10.44850, -1.57368, 1022,        1,
(-29/10|-17/10),-2.90000,-1.70000, -6.58710, -8.26183, 1022,        1,
( 29/10| 17/10), 2.90000, 1.70000,  6.58710,  8.26183, 1023,        1,
( 23/5 |-17/10), 4.60000,-1.70000, 10.44850,  1.57368, 1023,        1,
(-29/10| 23/5 ),-2.90000, 4.60000, -6.58710,  8.26183, 1023,        1,
(-23/5 | 29/10),-4.60000, 2.90000,-10.44850,  1.57368, 1023,        1,
( 17/10|-23/5 ), 1.70000,-4.60000,  3.86140, -9.83551, 1023,        1,
(-17/10|-29/10),-1.70000,-2.90000, -3.86140, -9.83551, 1023,        1,
(  3/5 | 37/10), 0.60000, 3.70000,  1.36285, 10.49121, 1024,        1,
( -3/5 | 43/10),-0.60000, 4.30000, -1.36285, 10.49121, 1024,        1,
( 43/10|-37/10), 4.30000,-3.70000,  9.76708, -4.06534, 1024,        1,
( 37/10|-43/10), 3.70000,-4.30000,  8.40423, -6.42587, 1024,        1,
(-43/10|  3/5 ),-4.30000, 0.60000, -9.76708, -4.06534, 1024,        1,
(-37/10| -3/5 ),-3.70000,-0.60000, -8.40423, -6.42587, 1024,        1,
( 37/10|  3/5 ), 3.70000, 0.60000,  8.40423,  6.42587, 1025,        1,
( 43/10| -3/5 ), 4.30000,-0.60000,  9.76708,  4.06534, 1025,        1,
(-37/10| 43/10),-3.70000, 4.30000, -8.40423,  6.42587, 1025,        1,
(-43/10| 37/10),-4.30000, 3.70000, -9.76708,  4.06534, 1025,        1,
(  3/5 |-43/10), 0.60000,-4.30000,  1.36285,-10.49121, 1025,        1,
( -3/5 |-37/10),-0.60000,-3.70000, -1.36285,-10.49121, 1025,        1,
(  6/5 | 33/10), 1.20000, 3.30000,  2.72570, 10.22893, 1026,        1,
( -6/5 |  9/2 ),-1.20000, 4.50000, -2.72570, 10.22893, 1026,        1,
(  9/2 |-33/10), 4.50000,-3.30000, 10.22136, -2.75394, 1026,        1,
( 33/10| -9/2 ), 3.30000,-4.50000,  7.49567, -7.47499, 1026,        1,
( -9/2 |  6/5 ),-4.50000, 1.20000,-10.22136, -2.75394, 1026,        1,
(-33/10| -6/5 ),-3.30000,-1.20000, -7.49567, -7.47499, 1026,        1,
( 33/10|  6/5 ), 3.30000, 1.20000,  7.49567,  7.47499, 1027,        1,
(  9/2 | -6/5 ), 4.50000,-1.20000, 10.22136,  2.75394, 1027,        1,
(-33/10|  9/2 ),-3.30000, 4.50000, -7.49567,  7.47499, 1027,        1,
( -9/2 | 33/10),-4.50000, 3.30000,-10.22136,  2.75394, 1027,        1,
(  6/5 | -9/2 ), 1.20000,-4.50000,  2.72570,-10.22893, 1027,        1,
( -6/5 |-33/10),-1.20000,-3.30000, -2.72570,-10.22893, 1027,        1,
(  3   |  8/5 ), 3.00000, 1.60000,  6.81424,  8.13069, 1028,        1,
( 23/5 | -8/5 ), 4.60000,-1.60000, 10.44850,  1.83596, 1028,        1,
( -3   | 23/5 ),-3.00000, 4.60000, -6.81424,  8.13069, 1028,        1,
(-23/5 |  3   ),-4.60000, 3.00000,-10.44850,  1.83596, 1028,        1,
(  8/5 |-23/5 ), 1.60000,-4.60000,  3.63426, -9.96665, 1028,        1,
( -8/5 | -3   ),-1.60000,-3.00000, -3.63426, -9.96665, 1028,        1,
(  8/5 |  3   ), 1.60000, 3.00000,  3.63426,  9.96665, 1029,        1,
( -8/5 | 23/5 ),-1.60000, 4.60000, -3.63426,  9.96665, 1029,        1,
( 23/5 | -3   ), 4.60000,-3.00000, 10.44850, -1.83596, 1029,        1,
(  3   |-23/5 ), 3.00000,-4.60000,  6.81424, -8.13069, 1029,        1,
(-23/5 |  8/5 ),-4.60000, 1.60000,-10.44850, -1.83596, 1029,        1,
( -3   | -8/5 ),-3.00000,-1.60000, -6.81424, -8.13069, 1029,        1,
(  1/10|  4   ), 0.10000, 4.00000,  0.22714, 10.62235, 1030,        1,
( -1/10| 41/10),-0.10000, 4.10000, -0.22714, 10.62235, 1030,        1,
( 41/10| -4   ), 4.10000,-4.00000,  9.31280, -5.11447, 1030,        1,
(  4   |-41/10), 4.00000,-4.10000,  9.08566, -5.50789, 1030,        1,
(-41/10|  1/10),-4.10000, 0.10000, -9.31280, -5.11447, 1030,        1,
( -4   | -1/10),-4.00000,-0.10000, -9.08566, -5.50789, 1030,        1,
(  4   |  1/10), 4.00000, 0.10000,  9.08566,  5.50789, 1031,        1,
( 41/10| -1/10), 4.10000,-0.10000,  9.31280,  5.11447, 1031,        1,
( -4   | 41/10),-4.00000, 4.10000, -9.08566,  5.50789, 1031,        1,
(-41/10|  4   ),-4.10000, 4.00000, -9.31280,  5.11447, 1031,        1,
(  1/10|-41/10), 0.10000,-4.10000,  0.22714,-10.62235, 1031,        1,
( -1/10| -4   ),-0.10000,-4.00000, -0.22714,-10.62235, 1031,        1,
(  3/10| 39/10), 0.30000, 3.90000,  0.68142, 10.62235, 1032,        1,
( -3/10| 21/5 ),-0.30000, 4.20000, -0.68142, 10.62235, 1032,        1,
( 21/5 |-39/10), 4.20000,-3.90000,  9.53994, -4.72105, 1032,        1,
( 39/10|-21/5 ), 3.90000,-4.20000,  8.85851, -5.90131, 1032,        1,
(-21/5 |  3/10),-4.20000, 0.30000, -9.53994, -4.72105, 1032,        1,
(-39/10| -3/10),-3.90000,-0.30000, -8.85851, -5.90131, 1032,        1,
( 39/10|  3/10), 3.90000, 0.30000,  8.85851,  5.90131, 1033,        1,
( 21/5 | -3/10), 4.20000,-0.30000,  9.53994,  4.72105, 1033,        1,
(-39/10| 21/5 ),-3.90000, 4.20000, -8.85851,  5.90131, 1033,        1,
(-21/5 | 39/10),-4.20000, 3.90000, -9.53994,  4.72105, 1033,        1,
(  3/10|-21/5 ), 0.30000,-4.20000,  0.68142,-10.62235, 1033,        1,
( -3/10|-39/10),-0.30000,-3.90000, -0.68142,-10.62235, 1033,        1,
( 18/5 |  4/5 ), 3.60000, 0.80000,  8.17709,  6.81929, 1034,        1,
( 22/5 | -4/5 ), 4.40000,-0.80000,  9.99422,  3.67192, 1034,        1,
(-18/5 | 22/5 ),-3.60000, 4.40000, -8.17709,  6.81929, 1034,        1,
(-22/5 | 18/5 ),-4.40000, 3.60000, -9.99422,  3.67192, 1034,        1,
(  4/5 |-22/5 ), 0.80000,-4.40000,  1.81713,-10.49121, 1034,        1,
( -4/5 |-18/5 ),-0.80000,-3.60000, -1.81713,-10.49121, 1034,        1,
(  4/5 | 18/5 ), 0.80000, 3.60000,  1.81713, 10.49121, 1035,        1,
( -4/5 | 22/5 ),-0.80000, 4.40000, -1.81713, 10.49121, 1035,        1,
( 22/5 |-18/5 ), 4.40000,-3.60000,  9.99422, -3.67192, 1035,        1,
( 18/5 |-22/5 ), 3.60000,-4.40000,  8.17709, -6.81929, 1035,        1,
